ID,Denumirea_stiintifică,Denumirea_populară,Clasa,Familia,Habitat,Localitatea,Silvice,Pajisti_sau_stepice,Stancarii,Palustre_si_acvatice,P_rară,Conventia_Berna,Directiva_Habitate,RM_Cartea_R_2015,Frcevența
P_176,Tanacetum vulgare L. ,Vetrice comună,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_177,Taraxacum bessarabicum (Hornem.) Hand.-Mazz.,Păpădie basarabeană,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_178,Taraxacum erythrospermum Andrz.,Păpădie eritrocarpă,Magnoliopsida,Asteraceae,,, ,+,+, ,,,,,C
P_179,Taraxacum hypanicum Tzvelev ,Păpădie hipanică,Magnoliopsida,Asteraceae,,, ,+, , ,,,,, C
P_180,Taraxacum officinale Wigg.,Păpădie medicinală,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_181,Taraxacum serotinum (Waldst. et Kit.) Poir.,Păpădie tardivă,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_182,Trogopogon desertorum (Lindem.) Klok.,Bărbiță deșerticolă,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_183,Tragopogon dubius Scop.,Barba caprei,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_184,Tragopogon orientalis L.,Bărbiță orientală,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_185,Tussilago farfara L.,Podbal,Magnoliopsida,Asteraceae,,, ,+, ,+,,,,,C
P_186,Xanthium strumarium L. ,Cornuți tumefiați,Magnoliopsida,Asteraceae,,, , , , ,,,,,C
P_187,Xeranthemum annuum L.,Plevăiță anuală,Magnoliopsida,Asteraceae,,, ,+,+, ,,,,,C
P_188,Xeranthemum cylindraceum Sibth.et Sm.,Plevăiță cilindrică,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_189,Impatiens noli-tangere L.,Nu-mă-atinge,Magnoliopsida,Balsaminaceae,,, +,+, , ,,,,,R
P_190,Aegonychon purpureo-caeruleum (L.) Holub.,Mărgică albăstruie,Magnoliopsida,Boraginaceae,,, +, , , ,,,,,C
P_191,Anchusa gmelinii Ledeb.,Miruță Gmelin,Magnoliopsida,Boraginaceae,,, ,+, , ,,,,,C
P_192,Anchusa officinalis L.,Miruță medicinală,Magnoliopsida,Boraginaceae,,, ,+, , ,,,,,C
P_193,Anchusa ochroleuca Bieb. ,Miruță gălbuie,Magnoliopsida,Boraginaceae,,, ,+, , ,,,,,C
P_194,Anchusa procera Bess.,Miruță zveltă,Magnoliopsida,Boraginaceae,,, ,+, , ,,,,,C
P_195,Asperugo procumbens L.,Rugozică culcată,Magnoliopsida,Boraginaceae,,, +, , , ,,,,,C
P_196,Buglossoides arvensis (L.) Johnst.,Zmeiță campestră,Magnoliopsida,Boraginaceae,,, ,+,+, ,,,,,C
P_197,Cerinthe minor L.,Cerițică mică,Magnoliopsida,Boraginaceae,,, ,+, , ,,,,,C
P_198,Cynoglossum officinale L.,Ariel medicinal,Magnoliopsida,Boraginaceae,,, ,+, , ,,,,,C
P_199,Echium vulgare L.,Viperică comună,Magnoliopsida,Boraginaceae,,, ,+, , ,,,,,C
P_200,Lappula squarrosa (Retz.) Dumort.,Turiță scvaroasă,Magnoliopsida,Boraginaceae,,, ,+, , ,,,,,C
P_201,Myosotis arvensis Hill.,Șerpeliță campestră,Magnoliopsida,Boraginaceae,,, ,+, , ,,,,,C
P_202,Myosotis caespitosa C. F. Schultz,Șerpeliță cespitoasă,Magnoliopsida,Boraginaceae,,, +, , , ,,,,,C
P_203,Myosotis micrantha Pall. ex Lehm.,Șerpeliță micrantă,Magnoliopsida,Boraginaceae,,, +,+, , ,,,,,C
P_204,Myosotis ramosissima Rochel ex Schult.,Șerpeliță ramificată,Magnoliopsida,Boraginaceae,,, +, , , ,,,,,C
P_205,Nonea rossica Steven,Nonee rusească,Magnoliopsida,Boraginaceae,,, ,+, , ,,,,,C
P_206,Nonea pulla (L.)DC.,Nonee brună,Magnoliopsida,Boraginaceae,,, ,+,+, ,,,,,C
P_207,Omphalodes scorpoides (Haenke) Schrank.,Buricar scorpioid,Magnoliopsida,Boraginaceae,,, +, , , ,,,,,C
P_208,Onosma visianii Clemennti ,Onosmă Visiani,Magnoliopsida,Boraginaceae,,, , ,+, ,,,,, R
P_209,Pulmonaria mollis Wulfen ex Hornem.,Cuscrișor moale,Magnoliopsida,Boraginaceae,,, +, , , ,,,,,C
P_210,Pulmonaria obscura Dumort.,Cuscrișor neevident,Magnoliopsida,Boraginaceae,,, +, , , ,,,,,C
P_211,Pulmonaria officinalis L.,Mierea ursului,Magnoliopsida,Boraginaceae,,, +, , , ,,,,,C
P_212,Symphytum officinale L.,Tătăneasă medicinală,Magnoliopsida,Boraginaceae,,, +, , , ,,,,,C
P_213,Symphytum tauricum Willd. ,Tătăneasă taurică,Magnoliopsida,Boraginaceae,,, +, , , ,,,,,C
P_214,Alliaria petiolata (Bieb.) Cavara et Grande,Usturoiță pețiolată,Magnoliopsida,Brassicaceae,,, +, , , ,,,,,C
P_215,Alyssum calycinum L.,Ciucușoară calicină,Magnoliopsida,Brassicaceae,,, , ,+, ,,,,,C
P_216,Alyssum gmelinii Jord.,Ciucușoară Gmelin,Magnoliopsida,Brassicaceae,,, , ,+, ,,,,, C
P_217,Allysum hirsutum M. Bieb,Ciucușoară hirsută,Magnoliopsida,Brassicaceae,,, , ,+, ,,,,,C
P_218,Alyssum minutum Schlecht. ex DC.,Ciucușoară măruntă,Magnoliopsida,Brassicaceae,,, , ,+, ,,,,,C
P_219,Alyssum murale Waldst. et Kit.,Ciucușoară murală,Magnoliopsida,Brassicaceae,,, , ,+, ,,,,,C
P_220,Alyssum rostratum Stev.,Ciucușoară rostrată,Magnoliopsida,Brassicaceae,,, , , , ,,,,,C
P_221,Arabidopsis thaliana (L.) Heynh.,Gâscăriță Tali,Magnoliopsida,Brassicaceae,,, +, , , ,,,,,C
P_222,Arabis sagittata (Bertol.) DC.,Turicea sagitată,Magnoliopsida,Brassicaceae,,, +, , , ,,,,,C
P_223,Arabis turrita L.,Turicea,Magnoliopsida,Brassicaceae,,, +, , , ,,,,,C
